#,Date Time,precipitation Counts (#),Temp (°C) c:2,RH (%) c:3,Wind Speed (m/s) c:5,Gust Speed (m/s) c:6,Wind Direction (ø) c:7,Pressure (mbar) c:8,Water Content (m³/m³) c:9,Batt (V)
180,05/04/12 12:01:37,0.00,27.825,66.600,1.67,4.45,230.2,977.550,0.2083,4.393
181,05/04/12 12:16:37,0.00,29.040,63.000,2.04,5.01,231.6,977.450,0.2073,4.363
182,05/04/12 12:31:37,0.00,28.642,61.000,2.23,3.90,223.2,977.250,0.2073,4.406
183,05/04/12 12:46:37,0.00,28.941,59.200,2.78,5.57,200.8,977.150,0.2073,4.369
184,05/04/12 13:01:37,0.00,29.966,55.600,2.04,5.75,237.3,976.950,0.2078,4.430
185,05/04/12 13:16:37,0.00,29.991,55.700,2.97,6.31,195.1,976.850,0.2073,4.375
186,05/04/12 13:31:37,0.00,31.357,52.800,2.78,6.31,198.0,976.550,0.2083,4.357
187,05/04/12 13:46:37,0.00,30.925,51.900,1.67,5.20,193.7,976.550,0.2083,4.381
188,05/04/12 14:01:37,0.00,31.459,50.300,2.04,5.57,210.6,976.150,0.2083,4.363
189,05/04/12 14:16:37,0.00,32.304,49.500,1.11,5.20,234.5,976.150,0.2092,4.393
190,05/04/12 14:31:37,0.00,32.484,46.600,1.48,5.01,198.0,976.050,0.2087,4.363
191,05/04/12 14:46:37,0.00,32.613,45.000,2.41,6.68,186.7,975.650,0.2092,4.393
192,05/04/12 15:01:37,0.00,33.131,42.800,1.67,4.64,226.0,975.450,0.2095,4.363
193,05/04/12 15:16:37,0.00,33.757,41.900,1.67,4.64,214.8,975.150,0.2092,4.393
194,05/04/12 15:31:37,0.00,33.704,42.600,2.41,5.94,195.1,974.850,0.2100,4.363
195,05/04/12 15:46:37,0.00,33.757,41.300,1.86,5.57,171.3,974.450,0.2100,4.393
196,05/04/12 16:01:37,0.00,33.261,41.100,2.60,6.49,169.9,974.150,0.2100,4.363
197,05/04/12 16:16:37,0.00,34.624,38.400,0.93,4.27,196.5,974.250,0.2112,4.393
198,05/04/12 16:31:37,0.00,34.097,39.200,1.86,5.75,200.8,974.050,0.2104,4.363
199,05/04/12 16:46:37,0.00,34.677,37.800,1.30,5.57,169.9,973.850,0.2112,4.393
200,05/04/12 17:01:37,0.00,34.045,39.200,2.04,5.75,174.1,973.850,0.2109,4.363
201,05/04/12 17:16:37,0.00,34.176,39.100,1.11,4.64,172.7,973.550,0.2109,4.393
202,05/04/12 17:31:37,0.00,34.677,38.300,1.67,6.12,196.5,973.650,0.2112,4.363
203,05/04/12 17:46:37,0.00,34.019,38.400,2.41,5.01,176.9,973.550,0.2126,4.381
204,05/04/12 18:01:37,0.00,34.071,38.800,2.60,6.49,161.5,973.450,0.2126,4.351
205,05/04/12 18:16:37,0.00,33.574,38.300,1.11,4.82,171.3,973.350,0.2122,4.363
206,05/04/12 18:31:37,0.00,33.548,38.800,0.74,5.20,158.6,973.150,0.2126,4.393
207,05/04/12 18:46:37,0.00,33.652,37.000,0.74,5.01,155.8,973.050,0.2117,4.351
208,05/04/12 19:01:37,0.00,33.678,37.400,1.67,4.82,150.2,973.050,0.2112,4.381
209,05/04/12 19:16:37,0.00,32.949,38.800,1.30,4.82,164.3,972.950,0.2112,4.400
210,05/04/12 19:31:37,0.00,32.458,39.900,1.67,5.57,155.8,973.150,0.2112,4.393
211,05/04/12 19:46:37,0.00,31.919,41.000,0.19,2.78,154.4,972.950,0.2112,4.369
